Years,Party
1789,Federalist
1793,Federalist
1797,Federalist
1801,Democratic Republican
1805,Democratic Republican
1809,Democratic Republican
1813,Democratic Republican
1817,Democratic Republican
1821,Democratic Republican
1825,Democratic Republican
1829,Democratic
1833,Democratic
1837,Democratic
1841,Whig
1845,Democratic
1849,Whig
1853,Democratic
1857,Democratic
1861,Republican
1865,Republican
1869,Republican
1873,Republican
1877,Republican
1881,Republican
1885,Democratic
1889,Republican
1893,Democratic
1897,Republican
1901,Republican
1905,Republican
1909,Republican
1913,Democratic
1917,Democratic
1921,Republican
1925,Republican
1929,Republican
1933,Democratic
1937,Democratic
1941,Democratic
1945,Democratic
1949,Democratic
1953,Republican
1957,Republican
1961,Democratic
1965,Democratic
1969,Republican
1973,Republican
1977,Democratic
1981,Republican
1985,Republican
1989,Republican
1993,Democratic
1997,Democratic
2001,Republican
2005,Republican
2009,Democratic
2013,Democratic
2017,Republican
